#COMPARISON	LABEL	PATTERN	VEHICLE	FIGUR/LITERAL?	DEHUM?	TABOO?	EVAL/FRAME?	CONTRAD?	ABSURD?
You are as modern as a typewriter.	OTHER	P(You are as modern as)	V(a typewriter)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your voice sounds like a piece of raspy sandpaper.	ABUSE	P(Your voice sounds like)	V(a piece of raspy sandpaper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like an act.	ABUSE	P(Your smile is like)	V(an act)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your comments are like an argument.	ABUSE	P(Your comments are like)	V(an argument)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your attention span is like a phone with its sleep mode on after five seconds.	ABUSE	P(Your attention span is like)	V(a phone with its sleep mode on after five seconds)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like insults to my intelligence.	ABUSE	P(Your comments are like)	V(insults to my intelligence)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your clothes are like the clothes of an old man.	ABUSE	P(Your clothes are like)	V(the clothes of an old man)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You make me feel like I don’t matter.	OTHER	P(You make me feel like)	V(I don’t matter)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a beetroot.	OTHER	P(Your sunburn makes you look like)	V(a beetroot)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attention span is like a scattergun.	OTHER	P(Your attention span is like)	V(a scattergun)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as today.	OTHER	P(You are as modern as)	V(today)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like a baby.	ABUSE	P(You cry like)	V(a baby)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your approach is like lightning.	OTHER	P(Your approach is like)	V(lightning)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as a flip phone.	OTHER	P(You are as modern as)	V(a flip phone)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You are as thin as a zombie.	ABUSE	P(You are as thin as)	V(a zombie)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as modern as a grannie.	ABUSE	P(You are as modern as)	V(a grannie)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
You run faster than a minnow can swim a dipper.	ABUSE	P(You run faster than)	V(a minnow can swim a dipper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like a badly plastered wall.	ABUSE	P(Your lips are like)	V(a badly plastered wall)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your approach is like that of statue that has been blown over.	ABUSE	P(Your approach is like)	V(that of statue that has been blown over)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as a high street tech shop.	OTHER	P(You are as modern as)	V(a high street tech shop)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a well-ripened pepper.	OTHER	P(Your sunburn makes you look like)	V(a well-ripened pepper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your skin is like tissue paper.	ABUSE	P(Your skin is like)	V(tissue paper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like a clap of thunder.	OTHER	P(Your input is like)	V(a clap of thunder)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like a school dinner lady that is trying to kill all the students.	ABUSE	P(You cook like)	V(a school dinner lady that is trying to kill all the students)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your eyes are like backwards binoculars.	ABUSE	P(Your eyes are like)	V(backwards binoculars)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your movements remind me of a slow cyclist.	ABUSE	P(Your movements remind me of)	V(a slow cyclist)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You laugh like a hyena.	ABUSE	P(You laugh like)	V(a hyena)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like a mask.	ABUSE	P(Your smile is like)	V(a mask)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your presence is like an uninvited guest.	ABUSE	P(Your presence is like)	V(an uninvited guest)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as hungry as a bottom swallowing a thong.	ABUSE	P(You are as hungry as)	V(a bottom swallowing a thong)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your skin is like someone in a black and white photo.	ABUSE	P(Your skin is like)	V(someone in a black and white photo)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You remind me of a cat on a hot tin roof.	OTHER	P(You remind me of)	V(a cat on a hot tin roof)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are sweating like a waterfall.	ABUSE	P(You are sweating like)	V(a waterfall)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You make me feel like an acquaintance.	OTHER	P(You make me feel like)	V(an acquaintance)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are built like a teddy bear.	ABUSE	P(You are built like)	V(a teddy bear)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like it's going to give up soon.	OTHER	P(Your voice sounds like)	V(it's going to give up soon)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your lips are like they haven't found the right colour yet.	ABUSE	P(Your lips are like)	V(they haven't found the right colour yet)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your responses are like you're half asleep.	OTHER	P(Your responses are like)	V(you're half asleep)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You move like an old person who lost their bus pass.	ABUSE	P(You move like)	V(an old person who lost their bus pass)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are built like a champion.	OTHER	P(You are built like)	V(a champion)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your responses are like you really need to clear your head and refresh yourself.	ABUSE	P(Your responses are like)	V(you really need to clear your head and refresh yourself)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You laugh like a car trying to start its engine.	ABUSE	P(You laugh like)	V(a car trying to start its engine)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as thin as piece of wafer.	ABUSE	P(You are as thin as)	V(piece of wafer)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as a cassette player.	ABUSE	P(You are as modern as)	V(a cassette player)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your responses are like white noise.	ABUSE	P(Your responses are like)	V(white noise)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like work clothes.	ABUSE	P(Your clothes are like)	V(work clothes)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your attention span is like melting snow.	OTHER	P(Your attention span is like)	V(melting snow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You laugh like a garbage disposal unit.	ABUSE	P(You laugh like)	V(a garbage disposal unit)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your skin is like crepe paper.	ABUSE	P(Your skin is like)	V(crepe paper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like a clanging bell.	OTHER	P(Your comments are like)	V(a clanging bell)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your room is like a car crash.	OTHER	P(Your room is like)	V(a car crash)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your words are as clear as mud.	ABUSE	P(Your words are)	V(as clear as mud)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your voice sounds like you've got tonsilitis.	OTHER	P(Your voice sounds like)	V(you've got tonsilitis)	LITERAL	NONE	NONE	EVAL	NONE	NONE
This dress makes you look like you're having a duvet day.	ABUSE	P(This dress makes you look like)	V(you're having a duvet day)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your smile is like a fake designer bag being sold on the street.	OTHER	P(Your smile is like)	V(a fake designer bag being sold on the street)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You dance like a moving lemur.	ABUSE	P(You dance like)	V(a moving lemur)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You reacted like a volcano.	OTHER	P(You reacted like)	V(a volcano)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like a pale white sheet.	OTHER	P(Your lips are like)	V(a pale white sheet)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like a snake-oil salesman.	OTHER	P(You talk like)	V(a snake-oil salesman)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes make you look fat.	ABUSE	P(Your clothes make)	V(you look fat)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your manners are as refined as a pig in a barrel.	ABUSE	P(Your manners are as)	V(refined as a pig in a barrel)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You talk like a fish wife.	OTHER	P(You talk like)	V(a fish wife)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You dance like an ok dancer.	OTHER	P(You dance like)	V(an ok dancer)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your input is like a negative review.	OTHER	P(Your input is like)	V(a negative review)	LITERAL	DEHUM	NONE	EVAL	NONE	NONE
Your face is like a cloudy day.	OTHER	P(Your face is like)	V(a cloudy day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a monkey.	ABUSE	P(You have the face of)	V(a monkey)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your progress is like torture because it’s so slow and painful.	ABUSE	P(Your progress is like)	V(torture because it’s so slow and painful)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your face is like a puddle of mud.	ABUSE	P(Your face is like)	V(a puddle of mud)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
With that hairstyle, you look like a homeless person.	ABUSE	P(With that hairstyle, you look like)	V(a homeless person)	LITERAL	NONE	TABOO	EVAL	NONE	NONE
You have the face of an aged man.	ABUSE	P(You have the face of)	V(an aged man)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You dance like an engine running out of gas.	OTHER	P(You dance like)	V(an engine running out of gas)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like a graveyard.	ABUSE	P(Your smile is like)	V(a graveyard)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your manners are as flippant as a seal.	OTHER	P(Your manners are as)	V(flippant as a seal)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes make you look old.	ABUSE	P(Your clothes make)	V(you look old)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your manners are as coarse as sandpaper.	ABUSE	P(Your manners are as)	V(coarse as sandpaper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
With that hairstyle, you look like a tired person.	OTHER	P(With that hairstyle, you look like)	V(a tired person)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You are as common as dirt.	ABUSE	P(You are as common as)	V(dirt)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as common as muck.	ABUSE	P(You are as common as)	V(muck)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like using a marshmallow to hammer nails into a wall.	ABUSE	P(Your input is like)	V(using a marshmallow to hammer nails into a wall)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
You talk like a ghost.	OTHER	P(You talk like)	V(a ghost)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as modern as the exhibits in a museum.	OTHER	P(You are as modern as)	V(the exhibits in a museum)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your clothes make you look like you don't care.	OTHER	P(Your clothes make)	V(you look like you don't care)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You are as thin as an elephant.	ABUSE	P(You are as thin as)	V(an elephant)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your posture reminds me of a person who is completely overwhelmed.	OTHER	P(Your posture reminds me of)	V(a person who is completely overwhelmed)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your lips are like dried raisins.	ABUSE	P(Your lips are like)	V(dried raisins)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a sad person.	OTHER	P(You have the face of)	V(a sad person)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your garden is like a burned desert.	OTHER	P(Your garden is like)	V(a burned desert)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes make you appear larger than you are.	OTHER	P(Your clothes make)	V(you appear larger than you are)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your attitude is like the road is war and other drivers are the enemies.	OTHER	P(Your attitude is like)	V(the road is war and other drivers are the enemies)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
You dance like a child.	ABUSE	P(You dance like)	V(a child)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as cheap as borscht.	OTHER	P(You are as cheap as)	V(borscht)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your garden is like a shed.	ABUSE	P(Your garden is like)	V(a shed)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes make you seem like a bag-lady.	OTHER	P(Your clothes make)	V(you seem like a bag-lady)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You run like a headless chicken.	ABUSE	P(You run like)	V(a headless chicken)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You sing like a mosquito on a sweltering night.	OTHER	P(You sing like)	V(a mosquito on a sweltering night)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are as offensive as the worst possible stand up comedian.	OTHER	P(Your manners are as)	V(offensive as the worst possible stand up comedian)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You have the face of someone who has sat in a damp patch.	OTHER	P(You have the face of)	V(someone who has sat in a damp patch)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
You have the face of thunder.	OTHER	P(You have the face of)	V(thunder)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of a pig when you eat.	ABUSE	P(You remind me of)	V(a pig when you eat)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a grey stone statue.	OTHER	P(You have the face of)	V(a grey stone statue)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a clown.	ABUSE	P(You have the face of)	V(a clown)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your approach is like an axe chopping wood.	OTHER	P(Your approach is like)	V(an axe chopping wood)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as deaf as a doorpost.	OTHER	P(You are as deaf as)	V(a doorpost)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your clothes make people laugh.	ABUSE	P(Your clothes make)	V(people laugh)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You eat like a three year old.	ABUSE	P(You eat like)	V(a three year old)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You move like you are wading through mud.	OTHER	P(You move like)	V(you are wading through mud)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as dull as ditchwater.	ABUSE	P(You are as dull as)	V(ditchwater)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are like it's painful for you to talk.	OTHER	P(Your responses are like)	V(it's painful for you to talk)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You have the face of a chimpanzee.	ABUSE	P(You have the face of)	V(a chimpanzee)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your responses are like they were said without thinking.	OTHER	P(Your responses are like)	V(they were said without thinking)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You laugh like a train. 	OTHER	P(You laugh like)	V(a train)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your face is like a thunderstorm.	OTHER	P(Your face is like)	V(a thunderstorm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like an empty room.	OTHER	P(Your conversations are like)	V(an empty room)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a wailing cat.	ABUSE	P(You sing like)	V(a wailing cat)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a glistening waterfall.	OTHER	P(You have the face of)	V(a glistening waterfall)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as thin as a stick.	ABUSE	P(You are as thin as)	V(a stick)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your garden is like a tip.	ABUSE	P(Your garden is like)	V(a tip)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your clothes make no sense.	OTHER	P(Your clothes make)	V(no sense)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You eat like a doll.	OTHER	P(You eat like)	V(a doll)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as fat as a cow.	ABUSE	P(You are as fat as)	V(a cow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like a school dinner lady.	OTHER	P(You cook like)	V(a school dinner lady)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You eat like a hungry person.	OTHER	P(You eat like)	V(a hungry person)	LITERAL	NONE	NONE	EVAL	NONE	NONE
With that hairstyle, you look like you've been dragged through a hedge backwards.	ABUSE	P(With that hairstyle, you look like)	V(you've been dragged through a hedge backwards)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You eat like a hungry monkey.	ABUSE	P(You eat like)	V(a hungry monkey)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You eat like a digger.	ABUSE	P(You eat like)	V(a digger)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your posture reminds me of a deflated balloon.	OTHER	P(Your posture reminds me of)	V(a deflated balloon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a porcelain mug.	OTHER	P(You have the face of)	V(a porcelain mug)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like a teenager.	ABUSE	P(You talk like)	V(a teenager)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your face is like the face of somebody who has given up on life.	OTHER	P(Your face is like)	V(the face of somebody who has given up on life)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You are built like a huge unit.	ABUSE	P(You are built like)	V(a huge unit)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as bakelite.	ABUSE	P(You are as modern as)	V(bakelite)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
With that hairstyle, you look like you're wearing a helmet.	ABUSE	P(With that hairstyle, you look like)	V(you're wearing a helmet)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You remind me of the colour brown.	OTHER	P(You remind me of)	V(the colour brown)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a broken parrot.	ABUSE	P(You sing like)	V(a broken parrot)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
You talk like a child.	ABUSE	P(You talk like)	V(a child)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your skin is like a crater on the moon.	ABUSE	P(Your skin is like)	V(a crater on the moon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You eat like a warthog.	ABUSE	P(You eat like)	V(a warthog)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of a clown when you wear makeup.	ABUSE	P(You remind me of)	V(a clown when you wear makeup)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as cheap as chips.	ABUSE	P(You are as cheap as)	V(chips)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your skin is like rubber.	OTHER	P(Your skin is like)	V(rubber)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your approach is like is loud it can be heard in the Australian outback.	OTHER	P(Your approach is like)	V(is loud it can be heard in the Australian outback)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your manners are as cold as ice.	OTHER	P(Your manners are as)	V(cold as ice)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as someone who hasn't slept for two weeks.	OTHER	P(You look as tired as)	V(someone who hasn't slept for two weeks)	FIGUR	NONE	NONE	FRAME	NONE	ABSURD
You remind me of a rash.	ABUSE	P(You remind me of)	V(a rash)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You sing like a skunk.	ABUSE	P(You sing like)	V(a skunk)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like a disco man.	OTHER	P(You dance like)	V(a disco man)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You sing like a catfish.	ABUSE	P(You sing like)	V(a catfish)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like a hurricane.	OTHER	P(Your attitude is like)	V(a hurricane)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your garden is like a bomb site.	OTHER	P(Your garden is like)	V(a bomb site)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
With that hairstyle, you look like you've aged.	OTHER	P(With that hairstyle, you look like)	V(you've aged)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your manners are as refined as a monkey's.	ABUSE	P(Your manners are as)	V(refined as a monkey's)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You have the face of a cow.	ABUSE	P(You have the face of)	V(a cow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of a dog slobbering over its dinner.	ABUSE	P(You remind me of)	V(a dog slobbering over its dinner)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are built like a house.	ABUSE	P(You are built like)	V(a house)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are as limited as a child's.	ABUSE	P(Your manners are as)	V(limited as a child's)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your responses are like a tanker trying to do a U-turn in the ocean.	OTHER	P(Your responses are like)	V(a tanker trying to do a U-turn in the ocean)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of someone only a mother could love.	ABUSE	P(You have the face of)	V(someone only a mother could love)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your arms are like milky tubes.	OTHER	P(Your arms are like)	V(milky tubes)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as smart as a neanderthal.	ABUSE	P(You are as smart as)	V(a neanderthal)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
You remind me of a tsunami.	OTHER	P(You remind me of)	V(a tsunami)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are as thin as a string bean.	OTHER	P(You are as thin as)	V(a string bean)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as dull as dishwater.	ABUSE	P(You are as dull as)	V(dishwater)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are as good as a monkey's.	ABUSE	P(Your manners are as)	V(good as a monkey's)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You are as hungry as a fat man.	ABUSE	P(You are as hungry as)	V(a fat man)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your garden is like a jungle.	OTHER	P(Your garden is like)	V(a jungle)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your movements remind me of a robot.	ABUSE	P(Your movements remind me of)	V(a robot)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a piece of chalk on a blackboard.	ABUSE	P(You sing like)	V(a piece of chalk on a blackboard)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like a three-legged animal.	ABUSE	P(You dance like)	V(a three-legged animal)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your arms are like pastry.	OTHER	P(Your arms are like)	V(pastry)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a thunderstorm.	OTHER	P(You have the face of)	V(a thunderstorm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a broken record.	ABUSE	P(You sing like)	V(a broken record)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a thundery day.	OTHER	P(You have the face of)	V(a thundery day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of a flat tyre.	ABUSE	P(You remind me of)	V(a flat tyre)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as thin as a rake.	OTHER	P(You are as thin as)	V(a rake)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
With that hairstyle, you look like a clown.	ABUSE	P(With that hairstyle, you look like)	V(a clown)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as fat as a house.	ABUSE	P(You are as fat as)	V(a house)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like a bear.	OTHER	P(You dance like)	V(a bear)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your skin is like a badly burnt pizza.	ABUSE	P(Your skin is like)	V(a badly burnt pizza)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You have the face of a politician.	ABUSE	P(You have the face of)	V(a politician)	FIGUR	NONE	NONE	EVAL	NONE	NONE
This dress makes you look like your hips are wider than usual.	OTHER	P(This dress makes you look like)	V(your hips are wider than usual)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your clothes are like they are borrowed.	ABUSE	P(Your clothes are like)	V(they are borrowed)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You cook like you've never seen an oven before.	ABUSE	P(You cook like)	V(you've never seen an oven before)	FIGUR	NONE	NONE	EVAL	NONE	NONE
With that hairstyle, you look like you've just got out of bed.	OTHER	P(With that hairstyle, you look like)	V(you've just got out of bed)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You are acting like you have no education.	ABUSE	P(You are acting like)	V(you have no education)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hair is as silky as sandpaper.	ABUSE	P(Your hair is as silky as)	V(sandpaper)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like a cheese grater.	ABUSE	P(Your voice sounds like)	V(a cheese grater)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like a sheep dog.	OTHER	P(Your hair looks like)	V(a sheep dog)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like a broken lamp.	ABUSE	P(You dance like)	V(a broken lamp)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your approach is like sandpaper on skin.	ABUSE	P(Your approach is like)	V(sandpaper on skin)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as as the cavemen.	ABUSE	P(You are as modern as)	V(as the cavemen)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
You remind me of a train wreck.	ABUSE	P(You remind me of)	V(a train wreck)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your room is like a civil service office block.	OTHER	P(Your room is like)	V(a civil service office block)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You have the face of squashed pumpkin.	ABUSE	P(You have the face of)	V(squashed pumpkin)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your garden is like a mess.	OTHER	P(Your garden is like)	V(a mess)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your room is like a monk's cell.	OTHER	P(Your room is like)	V(a monk's cell)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You sing like a strangled goat.	ABUSE	P(You sing like)	V(a strangled goat)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You look as tired as someone who has been running a mile.	OTHER	P(You look as tired as)	V(someone who has been running a mile)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You have the face of someone who's been eating lemons.	ABUSE	P(You have the face of)	V(someone who's been eating lemons)	FIGUR	NONE	NONE	FRAME	NONE	NONE
You have the face of mashed peas.	ABUSE	P(You have the face of)	V(mashed peas)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You sing like a hawk.	OTHER	P(You sing like)	V(a hawk)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of a cloudy day.	OTHER	P(You remind me of)	V(a cloudy day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are built like someone who needs a lot of sustenance.	OTHER	P(You are built like)	V(someone who needs a lot of sustenance)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You sing like a howling dog.	ABUSE	P(You sing like)	V(a howling dog)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
